station_id,capacity,hour,day_of_week,is_weekend,is_peak_hour,avg_temp,avg_humidity,max_barometric_pressure_hpa,num_bikes_available
10,16,0,6,1,0,13.955,83.75,1002.56,15
100,25,0,6,1,0,13.955,83.75,1002.56,17
109,29,0,6,1,0,13.955,83.75,1002.56,20
11,30,0,6,1,0,13.955,83.75,1002.56,1
114,40,0,6,1,0,13.955,83.75,1002.56,4
116,30,0,6,1,0,13.955,83.75,1002.56,2
13,30,0,6,1,0,13.955,83.75,1002.56,0
14,30,0,6,1,0,13.955,83.75,1002.56,21
15,16,0,6,1,0,13.955,83.75,1002.56,1
17,20,0,6,1,0,13.955,83.75,1002.56,3
18,30,0,6,1,0,13.955,83.75,1002.56,6
19,30,0,6,1,0,13.955,83.75,1002.56,4
2,20,0,6,1,0,13.955,83.75,1002.56,5
20,30,0,6,1,0,13.955,83.75,1002.56,0
22,20,0,6,1,0,13.955,83.75,1002.56,11
24,20,0,6,1,0,13.955,83.75,1002.56,13
28,30,0,6,1,0,13.955,83.75,1002.56,3
29,29,0,6,1,0,13.955,83.75,1002.56,25
3,20,0,6,1,0,13.955,83.75,1002.56,14
30,20,0,6,1,0,13.955,83.75,1002.56,0
31,20,0,6,1,0,13.955,83.75,1002.56,3
33,23,0,6,1,0,13.955,83.75,1002.56,23
34,30,0,6,1,0,13.955,83.75,1002.56,2
35,30,0,6,1,0,13.955,83.75,1002.56,17
36,40,0,6,1,0,13.955,83.75,1002.56,23
38,40,0,6,1,0,13.955,83.75,1002.56,29
39,20,0,6,1,0,13.955,83.75,1002.56,3
4,20,0,6,1,0,13.955,83.75,1002.56,11
40,21,0,6,1,0,13.955,83.75,1002.56,13
44,30,0,6,1,0,13.955,83.75,1002.56,6
45,30,0,6,1,0,13.955,83.75,1002.56,29
48,40,0,6,1,0,13.955,83.75,1002.56,13
49,40,0,6,1,0,13.955,83.75,1002.56,14
5,40,0,6,1,0,13.955,83.75,1002.56,3
50,40,0,6,1,0,13.955,83.75,1002.56,14
52,32,0,6,1,0,13.955,83.75,1002.56,27
53,40,0,6,1,0,13.955,83.75,1002.56,7
54,33,0,6,1,0,13.955,83.75,1002.56,12
55,36,0,6,1,0,13.955,83.75,1002.56,2
57,23,0,6,1,0,13.955,83.75,1002.56,2
58,40,0,6,1,0,13.955,83.75,1002.56,7
60,30,0,6,1,0,13.955,83.75,1002.56,2
61,25,0,6,1,0,13.955,83.75,1002.56,1
64,40,0,6,1,0,13.955,83.75,1002.56,17
65,40,0,6,1,0,13.955,83.75,1002.56,3
66,40,0,6,1,0,13.955,83.75,1002.56,24
67,40,0,6,1,0,13.955,83.75,1002.56,15
68,40,0,6,1,0,13.955,83.75,1002.56,8
69,40,0,6,1,0,13.955,83.75,1002.56,11
72,31,0,6,1,0,13.955,83.75,1002.56,10
73,30,0,6,1,0,13.955,83.75,1002.56,8
74,30,0,6,1,0,13.955,83.75,1002.56,6
75,40,0,6,1,0,13.955,83.75,1002.56,16
